#,,,,,,,"generated_by='OpenQuake engine 3.13.0-git5456bd25a7', start_date='2021-09-29T16:09:23', checksum=1834546322, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
103.09370,30.52500,2.841323E-01,4.460908E-01,6.879005E-01,1.115458E+00,1.855648E-01,3.405734E-01
103.09545,30.65989,2.306425E-01,3.765894E-01,5.620343E-01,9.211395E-01,1.460948E-01,2.718930E-01
103.09720,30.79479,2.211300E-01,3.797940E-01,5.374260E-01,9.273224E-01,1.309950E-01,2.528657E-01
103.09897,30.92969,1.722848E-01,3.046982E-01,4.138885E-01,7.394255E-01,1.047026E-01,2.048631E-01
103.10075,31.06459,1.352467E-01,2.414551E-01,3.158128E-01,5.758458E-01,8.496447E-02,1.661492E-01
103.10255,31.19949,1.141071E-01,2.085213E-01,2.618635E-01,4.854765E-01,7.410634E-02,1.457393E-01
103.10435,31.33438,9.531933E-02,1.753249E-01,2.133787E-01,4.031379E-01,6.387257E-02,1.253871E-01
103.10617,31.46928,8.008747E-02,1.485849E-01,1.737424E-01,3.298029E-01,5.606257E-02,1.095919E-01
103.10800,31.60418,6.865916E-02,1.277989E-01,1.450123E-01,2.778738E-01,5.021901E-02,9.803164E-02
103.10984,31.73908,6.022035E-02,1.140631E-01,1.226564E-01,2.396098E-01,4.593112E-02,8.994438E-02
103.11169,31.87398,5.466281E-02,1.053272E-01,1.079445E-01,2.152423E-01,4.312788E-02,8.507755E-02
103.11356,32.00888,5.165115E-02,1.013241E-01,9.994511E-02,2.038971E-01,4.164034E-02,8.322596E-02
103.22776,28.90622,6.399855E-02,1.075962E-01,1.472935E-01,2.537904E-01,3.630605E-02,6.524917E-02
103.22956,29.04111,5.390751E-02,9.050307E-02,1.175558E-01,2.059840E-01,3.435405E-02,6.119093E-02
103.23139,29.17601,4.762848E-02,8.170305E-02,9.996242E-02,1.779529E-01,3.350652E-02,5.991280E-02
103.23322,29.31091,4.489058E-02,8.049151E-02,9.084840E-02,1.713542E-01,3.374674E-02,6.122981E-02
103.23507,29.44581,4.592528E-02,8.554059E-02,9.268493E-02,1.828832E-01,3.502922E-02,6.493536E-02
103.23693,29.58071,5.041625E-02,9.419325E-02,1.044415E-01,2.043414E-01,3.751433E-02,7.111268E-02
103.23880,29.71561,5.845845E-02,1.085691E-01,1.247353E-01,2.383871E-01,4.175925E-02,8.084365E-02
103.24068,29.85050,7.310017E-02,1.326449E-01,1.607903E-01,3.004928E-01,4.976668E-02,9.753010E-02
103.24258,29.98540,1.021239E-01,1.795427E-01,2.332547E-01,4.212191E-01,6.670589E-02,1.308282E-01
103.24449,30.12030,1.598400E-01,2.706798E-01,3.815101E-01,6.517525E-01,1.036623E-01,1.997846E-01
103.24642,30.25520,3.244958E-01,5.153866E-01,8.004068E-01,1.283712E+00,2.114079E-01,3.913873E-01
103.24835,30.39010,8.794260E-01,1.308433E+00,2.198938E+00,3.000000E+00,5.875419E-01,1.007609E+00
103.25030,30.52500,5.627235E-01,8.395930E-01,1.387674E+00,2.153133E+00,3.748334E-01,6.549178E-01
103.25227,30.65989,3.238911E-01,5.231537E-01,7.967377E-01,1.295977E+00,2.123235E-01,3.990715E-01
103.25424,30.79479,2.348552E-01,3.917557E-01,5.707104E-01,9.543866E-01,1.534216E-01,2.946074E-01
103.25623,30.92969,2.112776E-01,3.630716E-01,5.065039E-01,8.823355E-01,1.287110E-01,2.511398E-01
103.25824,31.06459,1.941533E-01,3.462119E-01,4.649345E-01,8.438688E-01,1.151434E-01,2.304585E-01
103.26025,31.19949,1.586358E-01,2.934058E-01,3.770916E-01,7.049839E-01,9.622277E-02,1.946259E-01
103.26228,31.33438,1.225076E-01,2.259362E-01,2.849498E-01,5.346304E-01,7.834043E-02,1.563250E-01
103.26433,31.46928,9.911513E-02,1.829039E-01,2.224338E-01,4.217329E-01,6.602629E-02,1.308727E-01
103.26639,31.60418,8.153830E-02,1.518134E-01,1.776236E-01,3.388584E-01,5.693692E-02,1.119399E-01
103.26846,31.73908,7.004625E-02,1.314099E-01,1.480076E-01,2.869142E-01,5.107705E-02,1.003314E-01
103.27054,31.87398,6.253327E-02,1.199818E-01,1.280743E-01,2.541594E-01,4.738660E-02,9.392414E-02
103.27264,32.00888,5.886989E-02,1.146308E-01,1.182323E-01,2.382777E-01,4.549786E-02,9.123618E-02
103.38185,28.90622,7.514177E-02,1.255682E-01,1.758352E-01,3.040296E-01,3.929348E-02,7.164840E-02
103.38386,29.04111,6.132850E-02,1.047602E-01,1.387531E-01,2.449720E-01,3.639229E-02,6.494127E-02
103.38589,29.17601,5.294310E-02,9.196135E-02,1.138692E-01,2.085901E-01,3.471889E-02,6.184327E-02
103.38792,29.31091,4.783447E-02,8.635689E-02,9.910452E-02,1.904152E-01,3.417980E-02,6.138977E-02
103.38998,29.44581,4.625446E-02,8.674698E-02,9.349421E-02,1.890055E-01,3.461298E-02,6.315550E-02
103.39204,29.58071,4.854116E-02,9.207058E-02,9.921651E-02,2.009087E-01,3.623699E-02,6.750286E-02
